"Latitude" "Longitude" "Crop" "SoilSampleID" "Se" "Zn" "Bio1" "Bio12" "EVI" "MB1" "MB2" "MB3" "MB7" "Slope" "TIM" "ph" "org"
8.712474285 38.45834309 "Teff" "GeoN-ETH18-Soil-1402" 0.263486462 35.68485638 175 982 2305 1266 2677 620 1869 2.203248739 8.156317711 6.24 1.785
8.714332367 38.26292768 "Teff" "GeoN-ETH18-Soil-1397" 0.16127307 35.02249308 173 973 2010 945 2077 480 1484 0.602294922 14.39217758 6.6 0.8802
8.735703249 39.55402102 "Teff" "GeoN-ETH18-Soil-1342" 0.564233461 33.06607085 229 597 2149 902 2095 462 1636 1.572972059 11.60138988 7.9 2.0607
8.735801621 39.21523567 "Teff" "GeoN-ETH18-Soil-1336" 0.174006246 20.94438589 176 975 2254 954 2222 518 1485 2.270979166 12.60895157 7.89 1.4583
8.75207242 38.91339001 "Teff" "GeoN-ETH18-Soil-1361" 0.8445795475 36.74925518 186 854 2069 1122 2359 560 1736 1.433309555 11.24745846 6.36 1.981
8.753336173 38.91276289 "Teff" "GeoN-ETH18-Soil-1363" 0.469520812 38.73672049 186 854 2069 1122 2359 560 1736 1.433309555 11.24745846 6.24 2.094
8.762373031 38.92442942 "Teff" "GeoN-ETH18-Soil-1362" 0.396119155 35.23686893 186 837 2472 1061 2512 553 1761 0.993169129 11.64033222 6.71 1.406
8.774301678 38.15720511 "Teff" "GeoN-ETH18-Soil-1417" 0.267249158 28.51555319 173 911 2141 951 2171 476 1499 1.279101372 12.49919891 6.86 1.117
8.789910563 38.26381565 "Teff" "GeoN-ETH18-Soil-1399" 0.0876 32.37656786 176 909 1724 846 1800 434 1306 0.271790683 13.28926849 5.34 4.667
8.791561744 38.32637921 "Teff" "GeoN-ETH18-Soil-1398" 0.146094067 32.13032818 176 932 1933 837 1901 435 1330 0.181194544 14.13162136 6.75 1.181
8.812697876 38.83084082 "Teff" "GeoN-ETH18-Soil-1745" 0.0479 25.1265121 169 1107 2054 956 2132 486 1493 1.23207128 7.807186604 7.94 1.252
8.822254096 38.25578447 "Teff" "GeoN-ETH18-Soil-1415" 0.6375645605 31.4160324 176 920 1987.5 981.5 2111.5 497.5 1467.5 0.187104769 11.928041935 7.095 1.0829
8.82271323 38.25345862 "Teff" "GeoN-ETH18-Soil-1416" 0.78350794 29.19927812 176 920 1905 936 2001 490 1437 0.090597495 13.11692619 7.18 1.0733
8.839978127 38.10612891 "Teff" "GeoN-ETH18-Soil-2363" 99999 30.75208771 158 1092 2993 854 2524 497 1508 2.955354929 12.69422913 6.02 2.096
8.847091393 38.63853355 "Teff" "GeoN-ETH18-Soil-1426" 0.054214478 27.53255845 173 1097 2024 952 2100 495 1315 0.619757533 8.208897591 6.54 1.161
8.854230923 39.50033896 "Teff" "GeoN-ETH18-Soil-2217" 0.22539857 23.75425372 204 930 1794 1487 2624 726 2376 4.904006004 8.971036911 8.2 1.0787
8.890229356 38.36109263 "Teff" "GeoN-ETH18-Soil-2376" 0.0743 42.92957101 177 971 2145 862 2050 441 1146 0.326648474 9.589607239 6.43 1.239
8.890253369 39.39320432 "Teff" "GeoN-ETH18-Soil-2223" 0.112003649 25.85358288 194 770 2129 1073 2325 554 1711 0.7448439 12.44813824 6.99 0.9769
8.892982917 38.61348834 "Teff" "GeoN-ETH18-Soil-1427" 0.0256 35.87817618 173 1059 2421 1199 2684 551 1723 1.727006078 9.261422157 5.64 1.802
8.922613737 38.3475183 "Teff" "GeoN-ETH18-Soil-2377" 0.233366264 28.29555211 177 980 1418 716 1471 374 950 0.236248299 10.1259613 7.02 1.0989
8.926392355 37.79031992 "Teff" "GeoN-ETH18-Soil-2349" 0.236173199 33.09924043 172 980 2854 868 2508 428 1418 2.723406792 11.54647541 6.34 1.381
8.933411405 37.86952486 "Teff" "GeoN-ETH18-Soil-2347" 0.0459 35.41560814 160 1013 2978 888 2579 478 1480 2.965004921 10.98741341 6.73 1.644
8.94242458 36.5837202 "Teff" "GeoN-ETH18-Soil-2199" 0.0331 34.14791639 185 1657 3316 815 2700 429 1335 1.64033401 8.412464142 5.24 3.42
8.942993555 38.48048516 "Teff" "GeoN-ETH18-Soil-2510" 0.0578 36.06321366 169 1114 1903 891 1903 551 1433 0.607722282 10.94325066 6.62 1.207
8.943347608 38.11471429 "Teff" "GeoN-ETH18-Soil-2362" 0.0317 26.06985029 164 1043 2283 797 2053 417 1241 1.01603508 8.222521782 7.57 1.348
